pl_rade,pl_eqt,pl_orbper,st_teff,st_mass,st_rad,rade_norm,eqt_norm,teff_norm,HSI,SCI,habitability
2.3,797.0,10.339293,5612.5,1.359,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,4874.0,1.359,1.738653,0.2725318,0.033596497,0.63635415,0.15306415,0.63635415,0
2.3,797.0,51.998497,4742.0,1.359,1.738653,0.2725318,0.033596497,0.59571075,0.15306415,0.59571075,0
2.3,797.0,51.998497,4213.0,1.359,1.738653,0.2725318,0.033596497,0.4572614,0.15306415,0.4572614,0
2.3,797.0,51.998497,4340.0,1.359,1.738653,0.2725318,0.033596497,0.48723924,0.15306415,0.48723924,0
2.3,797.0,10.339293,5612.5,1.359,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,4813.0,1.359,1.738653,0.2725318,0.033596497,0.6172384,0.15306415,0.6172384,0
2.3,797.0,51.998497,4888.0,1.359,1.738653,0.2725318,0.033596497,0.6408243,0.15306415,0.6408243,0
2.3,797.0,10.339293,5612.5,1.2,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5280.0,0.91,1.00235,0.2725318,0.033596497,0.77957994,0.15306415,0.77957994,0
2.3,797.0,51.998497,5255.0,0.9,0.951,0.2725318,0.033596497,0.7698959,0.15306415,0.7698959,0
2.3,797.0,51.998497,5612.5,1.0,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,10.339293,5612.5,0.9,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5612.5,0.91,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5314.94,0.969205,0.995819,0.2725318,0.033596497,0.79331887,0.15306415,0.79331887,0
2.3,797.0,51.998497,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5338.0,0.9,0.93,0.2725318,0.033596497,0.8025188,0.15306415,0.8025188,0
2.3,797.0,51.998497,5750.0,1.08,1.13,0.2725318,0.033596497,0.98609746,0.15306415,0.98609746,0
2.3,797.0,51.998497,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5760.0,1.0,0.951,0.2725318,0.033596497,0.9910403,0.15306415,0.9910403,0
2.3,797.0,51.998497,5747.0,1.03,1.12827,0.2725318,0.033596497,0.98461956,0.15306415,0.98461956,0
2.3,797.0,51.998497,5711.97,0.982996,1.159464,0.2725318,0.033596497,0.9675242,0.15306415,0.9675242,0
2.3,797.0,51.998497,5674.0,0.99,0.951,0.2725318,0.033596497,0.94932884,0.15306415,0.94932884,0
2.3,797.0,51.998497,4157.0,1.22,1.738653,0.2725318,0.033596497,0.44463566,0.15306415,0.44463566,0
2.3,797.0,10.339293,5612.5,1.359,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,4980.0,1.359,1.738653,0.2725318,0.033596497,0.6709907,0.15306415,0.6709907,0
2.3,797.0,51.998497,4979.0,1.359,1.738653,0.2725318,0.033596497,0.6706553,0.15306415,0.6706553,0
2.3,1700.0,10.339293,4060.0,0.85,0.951,0.2725318,8.162844e-05,0.42358544,0.13630672,0.42358544,0
3.9414074,1800.0,10.339293,4060.0,0.85,1.352,0.052791372,4.190942e-05,0.42358544,0.02641664,0.42358544,0
2.3,1700.0,10.339293,4060.0,0.85,0.951,0.2725318,8.162844e-05,0.42358544,0.13630672,0.42358544,0
2.3,1800.0,10.339293,4045.5,0.623,1.31316,0.2725318,4.190942e-05,0.42052558,0.13628685,0.42052558,0
2.3,797.0,30.3506,4893.0,0.99,1.738653,0.2725318,0.033596497,0.6424284,0.15306415,0.6424284,0
2.3,797.0,30.33,4816.0,1.05,1.738653,0.2725318,0.033596497,0.6181649,0.15306415,0.6181649,0
2.3,797.0,51.998497,5098.0,1.359,1.738653,0.2725318,0.033596497,0.7117703,0.15306415,0.7117703,0
2.3,797.0,51.998497,5098.0,1.359,1.738653,0.2725318,0.033596497,0.7117703,0.15306415,0.7117703,0
2.3,1450.0,10.339293,4045.5,0.535,0.84,0.2725318,0.00043218085,0.42052558,0.136482,0.42052558,0
2.3,797.0,10.339293,5612.5,0.535,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
3.9414074,1600.0,10.339293,4045.5,0.535,0.36645,0.052791372,0.00015899037,0.42052558,0.026475182,0.42052558,0
2.3,797.0,10.339293,4045.5,0.535,0.951,0.2725318,0.033596497,0.42052558,0.15306415,0.42052558,0
3.9414074,797.0,10.339293,4045.5,0.535,0.281,0.052791372,0.033596497,0.42052558,0.043193936,0.42052558,0
2.3,797.0,10.339293,5612.5,0.535,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,2369.0,10.339293,5612.5,0.959,0.951,0.2725318,9.438175e-07,0.9205813,0.13626638,0.9205813,0
2.3,797.0,10.339293,5612.5,0.535,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,2677.0,10.339293,5612.5,0.959,0.951,0.2725318,1.2109794e-07,0.9205813,0.13626596,0.9205813,0
2.3,2506.0,10.339293,5612.5,0.959,0.951,0.2725318,3.7864493e-07,0.9205813,0.1362661,0.9205813,0
2.3,1150.0,10.339293,4045.5,0.535,0.237845,0.2725318,0.0031934087,0.42052558,0.13786261,0.42052558,0
2.3,1250.0,10.339293,5612.5,0.535,0.951,0.2725318,0.0016395502,0.9205813,0.13708568,0.9205813,0
2.3,797.0,51.998497,7033.5,0.535,0.237845,0.2725318,0.033596497,0.5337915,0.15306415,0.5337915,0
2.3,797.0,51.998497,5612.5,0.535,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,1616.0,10.339293,5612.5,0.959,0.951,0.2725318,0.00014290458,0.9205813,0.13633735,0.9205813,0
2.3,797.0,10.339293,4045.5,0.6,0.951,0.2725318,0.033596497,0.42052558,0.15306415,0.42052558,0
2.3,1600.0,10.339293,5612.5,0.959,0.951,0.2725318,0.00015899037,0.9205813,0.1363454,0.9205813,0
2.3,797.0,51.998497,4415.0,1.234,1.738653,0.2725318,0.033596497,0.50585765,0.15306415,0.50585765,0
2.3,797.0,51.998497,4415.0,1.234,1.738653,0.2725318,0.033596497,0.50585765,0.15306415,0.50585765,0
2.3,797.0,51.998497,5872.0,1.06,1.21334,0.2725318,0.033596497,0.9540874,0.15306415,0.9540874,0
2.3,797.0,51.998497,5829.16,1.005192,1.136537,0.2725318,0.033596497,0.97474426,0.15306415,0.97474426,0
2.3,797.0,51.998497,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5882.0,1.063,0.951,0.2725318,0.033596497,0.94932884,0.15306415,0.94932884,0
2.3,797.0,51.998497,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5872.0,1.06,1.21334,0.2725318,0.033596497,0.9540874,0.15306415,0.9540874,0
2.3,797.0,51.998497,5829.16,1.005192,1.136537,0.2725318,0.033596497,0.97474426,0.15306415,0.97474426,0
2.3,797.0,51.998497,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5829.16,1.005192,1.136537,0.2725318,0.033596497,0.97474426,0.15306415,0.97474426,0
2.3,797.0,51.998497,5872.0,1.06,1.21334,0.2725318,0.033596497,0.9540874,0.15306415,0.9540874,0
2.3,700.0,10.339293,5612.5,1.359,0.951,0.2725318,0.06414131,0.9205813,0.16833656,0.9205813,0
2.3,797.0,51.998497,5612.5,1.359,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,7033.5,1.359,1.48726,0.2725318,0.033596497,0.5337915,0.15306415,0.5337915,0
2.3,797.0,51.998497,7033.5,1.359,1.48726,0.2725318,0.033596497,0.5337915,0.15306415,0.5337915,0
2.3,797.0,4.2293,5773.0,0.959,1.29,0.2725318,0.033596497,0.99750316,0.15306415,0.99750316,0
2.3,797.0,4.230785,5758.0,1.03,1.17561,0.2725318,0.033596497,0.9900499,0.15306415,0.9900499,0
2.3,797.0,4.231,5612.5,1.04,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,4.23077,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,4.230797,5760.76,1.069296,1.186744,0.2725318,0.033596497,0.9914169,0.15306415,0.9914169,0
2.3,797.0,6.7994,4045.5,0.535,0.274,0.2725318,0.033596497,0.42052558,0.15306415,0.42052558,0
2.3,797.0,33.747,4045.5,0.535,0.274,0.2725318,0.033596497,0.42052558,0.15306415,0.42052558,0
2.3,797.0,14.653,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,14.465314,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,14.65152,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,14.65162,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,14.651,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,14.65126,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,14.65171,5317.89,0.974708,0.964411,0.2725318,0.033596497,0.7944899,0.15306415,0.7944899,0
2.3,797.0,14.6516,5172.0,0.905,0.943,0.2725318,0.033596497,0.73859906,0.15306415,0.73859906,0
2.3,700.0,14.6,5612.5,0.959,0.951,0.2725318,0.06414131,0.9205813,0.16833656,0.9205813,0
2.3,797.0,14.651552,5198.0,1.015,0.98,0.2725318,0.033596497,0.74826354,0.15306415,0.74826354,0
2.3,797.0,14.648,5200.0,0.85,0.951,0.2725318,0.033596497,0.7490122,0.15306415,0.7490122,0
2.3,797.0,14.647,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,14.67,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,43.93,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,44.3936,5198.0,1.015,0.98,0.2725318,0.033596497,0.74826354,0.15306415,0.74826354,0
2.3,797.0,44.3827,5317.89,0.974708,0.964411,0.2725318,0.033596497,0.7944899,0.15306415,0.7944899,0
2.3,797.0,44.3446,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,44.3787,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,44.38,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,44.3989,5172.0,0.905,0.943,0.2725318,0.033596497,0.73859906,0.15306415,0.73859906,0
2.3,797.0,44.4175,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,44.373,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,51.998497,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,51.998497,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,51.998497,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,51.998497,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,51.998497,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.3,797.0,51.998497,5198.0,1.015,0.98,0.2725318,0.033596497,0.74826354,0.15306415,0.74826354,0
2.3,797.0,51.998497,5172.0,0.905,0.943,0.2725318,0.033596497,0.73859906,0.15306415,0.73859906,0
2.3,797.0,51.998497,5317.89,0.974708,0.964411,0.2725318,0.033596497,0.7944899,0.15306415,0.7944899,0
